date,id,referee,home_team,away_team,home_goals,away_goals,result,total_goals,goal_diff,home_gf_rolls_mean_5,home_pts_rolls_sum_5,away_gf_rolls_mean_5,away_pts_rolls_sum_5
2024-01-27 19:30:00,1048738,F. Willenborg,Fortuna Dusseldorf,FC St. Pauli,1,2,away,3,-1,3.0,10.0,1.8,9.0
2024-01-28 12:30:00,1048743,B. Dankert,Eintracht Braunschweig,FC Magdeburg,1,0,home,1,1,1.6,9.0,2.0,10.0
2024-01-28 12:30:00,1048737,R. Schröder,Hamburger SV,Karlsruher SC,3,4,away,7,-1,1.8,10.0,2.6,11.0
2024-01-28 12:30:00,1048741,A. Sather,SpVgg Greuther Furth,Holstein Kiel,2,1,home,3,1,1.4,11.0,2.2,12.0
2024-02-02 17:30:00,1048752,F. Lechner,FC Magdeburg,Holstein Kiel,1,1,draw,2,0,1.6,7.0,1.8,9.0
2024-02-02 17:30:00,1048750,T. Bauer,Karlsruher SC,SV Wehen,2,2,draw,4,0,2.6,11.0,1.4,4.0
2024-02-03 12:00:00,1048753,N. Winter,FC Nurnberg,VfL Osnabruck,2,2,draw,4,0,0.8,6.0,0.4,3.0
2024-02-03 12:00:00,1048746,S. Stegemann,FC Schalke 04,Eintracht Braunschweig,1,0,home,1,1,1.8,7.0,1.6,12.0
2024-02-03 12:00:00,1048748,F. Exner,FC St. Pauli,SpVgg Greuther Furth,3,2,home,5,1,1.6,9.0,1.4,11.0
2024-02-03 19:30:00,1048747,D. Schlager,Hertha Berlin,Hamburger SV,1,2,away,3,-1,2.0,8.0,2.0,7.0
2024-02-04 12:30:00,1048751,A. Sather,Hannover 96,Hansa Rostock,2,1,home,3,1,1.4,5.0,0.8,4.0
2024-02-04 12:30:00,1048749,T. Welz,SC Paderborn 07,Fortuna Dusseldorf,4,3,home,7,1,1.2,10.0,2.2,7.0
2024-02-04 12:30:00,1048754,D. Aytekin,SV Elversberg,FC Kaiserslautern,2,1,home,3,1,1.2,1.0,1.4,3.0
2024-02-09 17:30:00,1048755,S. Storks,Hamburger SV,Hannover 96,3,4,away,7,-1,2.0,9.0,1.8,8.0
2024-02-09 17:30:00,1048763,R. Kampka,SV Wehen,FC Nurnberg,1,1,draw,2,0,1.4,5.0,1.2,7.0
2024-02-10 12:00:00,1048761,T. Welz,Eintracht Braunschweig,Karlsruher SC,2,0,home,2,2,1.6,12.0,2.6,11.0
2024-02-10 12:00:00,1048759,M. Burda,FC Magdeburg,FC St. Pauli,1,0,home,1,1,1.0,5.0,1.8,11.0
2024-02-10 12:00:00,1048756,R. Hempel,Fortuna Dusseldorf,SV Elversberg,1,1,draw,2,0,1.8,4.0,1.4,4.0
2024-02-10 19:30:00,1048758,M. Petersen,FC Kaiserslautern,SC Paderborn 07,1,2,away,3,-1,1.4,3.0,1.8,10.0
2024-02-11 12:30:00,1048757,A. Aarnink,Holstein Kiel,FC Schalke 04,1,0,home,1,1,1.4,7.0,1.2,7.0
2024-02-11 12:30:00,1048760,M. Fritz,SpVgg Greuther Furth,Hertha Berlin,1,2,away,3,-1,1.6,8.0,1.2,5.0
2024-02-11 12:30:00,1048762,R. Hartmann,VfL Osnabruck,Hansa Rostock,0,0,draw,0,0,0.8,4.0,0.6,3.0
2024-02-16 17:30:00,1048769,P. Ittrich,Hannover 96,SpVgg Greuther Furth,2,1,home,3,1,2.2,10.0,1.6,7.0
2024-02-16 17:30:00,1048765,F. Exner,Hertha Berlin,FC Magdeburg,3,2,home,5,1,1.2,5.0,1.0,7.0
